County,harvest_yield,vet_count,permit_density,final_score
Randolph,1.0,0.13918795135207973,0.27607361963190186,0.6038153927459954
Onslow,0.48455842513996744,1.0,0.30229143726076246,0.5678520718851744
Moore,0.679971103485642,0.5153613951318352,0.21262650097005928,0.5219825257682946
Union,0.7473361025826261,0.11763859045792435,0.4316501494415605,0.5109902362661842
Craven,0.5961712118475709,0.5965556055750492,0.21288867914634788,0.5004466771041347
Cleveland,0.7274697489615316,0.17383408873970907,0.22573540978448955,0.46362724911181546
Wake,0.3698753837818313,0.07688468406342308,1.0000000000000002,0.4541588629067715
Anson,0.8060321473722233,0.13060447150051935,0.036049499239683286,0.4446795663711623
Davidson,0.6355427126602854,0.16720898801332607,0.3115987625190079,0.4374732939632262
Pender,0.6536030341340077,0.29717773251146323,0.144984531487599,0.4373420830667694
Halifax,0.7336102582625971,0.156041343756612,0.09333543075874365,0.42914932276013745
Rockingham,0.6617301787971827,0.16399751377499527,0.21262650097005928,0.425021093084855
Cumberland,0.22196135091204625,0.8165008864984804,0.37937182108961254,0.40994885235304634
Brunswick,0.4587321654325447,0.3786033946636163,0.3437155891143621,0.40994582866076695
Johnston,0.5214014809463609,0.18071965441544863,0.3977242934298149,0.4053117274344963
Stanly,0.669315513816146,0.12925524191770826,0.13974096796182686,0.40190680937795675
Northampton,0.6899042802961893,0.17372762702844508,0.03434534109380735,0.39697038217865777
Rowan,0.5607729817590753,0.16978364294487397,0.2920664883855068,0.3958490237121329
Rutherford,0.6173017879718259,0.1812692821297791,0.15389858948141158,0.3924428618887106
Pitt,0.5689001264222504,0.12923949404249874,0.291279953856641,0.38957992518591017
Duplin,0.6032147372223226,0.236598542133443,0.09385978711132087,0.3842219509223523
Columbus,0.6400577930287159,0.13887257328149022,0.11142572492265745,0.38260347106539483
Beaufort,0.5488531695864187,0.2930856155958031,0.0998898851659588,0.37267045998364984
Guilford,0.41322015531876466,0.08464661081688957,0.5528026847045252,0.365972401539736
Wayne,0.407802058876648,0.417867491314822,0.22625976613706678,0.3649328438012962
Cabarrus,0.4720968033230991,0.13157368429350214,0.38382885008651885,0.36489903525655476
Wilkes,0.5876828607549215,0.10349182321661926,0.16019086571233812,0.3597621026097001
Alamance,0.5114683041358137,0.14987335781890387,0.2641445126107703,0.35923861967532533
Granville,0.560411775329601,0.15511123779765285,0.12846730638141682,0.3511005237095679
Gaston,0.40996929745349464,0.13932987498856514,0.4398825441770227,0.3497877535181443
Edgecombe,0.5526458370959003,0.19537162704505745,0.0815374128257564,0.3455501785156536
Harnett,0.34603575943651793,0.43419843510864004,0.23910649677520845,0.34134411268922105
Bladen,0.5347661188369154,0.2210573052152997,0.05427088249174139,0.336215106345218
Iredell,0.46830413581361746,0.12398541057494006,0.28144827224581825,0.33551048861199834
Bertie,0.6014087050749504,0.0856858187095143,0.030937024802055478,0.3298600634153676
Franklin,0.4758894708325808,0.21836690690568217,0.14760631325048504,0.3294380404553322
Catawba,0.4258623803503702,0.11729911743732019,0.3287714330659116,0.32444882780099304
Montgomery,0.5508398049485281,0.11323471117447675,0.05322216978658697,0.31703412271452996
Surry,0.490698934441033,0.11540839109058354,0.17120234911645957,0.3170021522722773
Jones,0.3942568177713563,0.46006657484339203,0.01599286875360495,0.31614326978492735
Chatham,0.47444464511468304,0.16709646313645837,0.1224372083267789,0.3096057404231508
Stokes,0.46974896153151524,0.17290362646754964,0.10513344869173091,0.3043837495555778
Mecklenburg,0.13635542712660287,0.042165099426949626,0.8882072256305386,0.3007707948276735
Person,0.48401661549575586,0.1335776831907069,0.08756751088039433,0.29729460626565324
Hoke,0.11143218349286618,0.8599599460738081,0.09202453987730062,0.29371221323421026
