"year","month","state","handgun_unadjusted","long_gun_unadjusted","total_unadjusted","handgun_adjusted","long_gun_adjusted","total_adjusted"
2024,"01","Alabama",18985,15923,34907,21234,16601,37835
2007,"01","Alabama",10110,10888,20998,8739,11411,20150
2023,"01","Alabama",23177,16188,39365,26436,17513,43949
2009,"01","Alabama",14363,14674,29037,12990,15680,28669
2021,"01","Alabama",38644,27550,66194,45164,31921,77085
2014,"01","Alabama",14249,14710,28960,14627,16617,31244
2018,"01","Alabama",6578,7136,13714,7495,8520,16015
2016,"01","Alabama",28962,17236,46198,31346,19913,51259
2002,"01","Alabama",6882,9268,16149,6268,10446,16714
2004,"01","Alabama",7966,10536,18502,7035,11314,18349
2017,"01","Alabama",7753,7535,15288,8601,8896,17497
2022,"01","Alabama",20296,14904,35200,23495,16821,40316
2006,"01","Alabama",9074,11211,20285,7809,11795,19604
2019,"01","Alabama",7624,6344,13968,8898,7530,16428
2015,"01","Alabama",18733,15051,33784,19723,17017,36740
2001,"01","Alabama",8612,11211,19823,7932,12827,20759
2011,"01","Alabama",11678,11258,22936,11319,12790,24109
2003,"01","Alabama",7068,9760,16828,6343,10745,17087
2005,"01","Alabama",7990,10276,18267,6942,10890,17832
2026,"01","Alabama",15096,12865,27961,16376,12886,29262
2013,"01","Alabama",30461,25553,56014,30883,29134,60017
2010,"01","Alabama",10913,11658,22571,10177,12890,23066
2012,"01","Alabama",13749,12845,26594,13693,14800,28493
2000,"01","Alabama",8636,11350,19986,8006,13030,21036
2020,"01","Alabama",25837,14969,40806,30478,17627,48105
2008,"01","Alabama",10745,10582,21327,9447,11133,20580
2025,"01","Alabama",18928,16005,34933,20757,16224,36980
2005,"02","Alabama",8720,9670,18390,6939,10775,17714
2017,"02","Alabama",12368,8286,20655,9873,8640,18513
2021,"02","Alabama",24122,18684,42805,21744,20180,41924
2012,"02","Alabama",21270,16008,37278,15078,15520,30598
2008,"02","Alabama",11790,13686,25476,9108,14573,23681
2023,"02","Alabama",25737,16103,41840,23438,16889,40327
2000,"02","Alabama",9900,11659,21559,8041,13212,21253
2018,"02","Alabama",10681,8428,19109,8862,8991,17853
2003,"02","Alabama",8506,9821,18327,6815,10965,17780
2002,"02","Alabama",7820,8747,16567,6288,9822,16110
2013,"02","Alabama",27844,23001,50845,19782,22220,42002
2025,"02","Alabama",22360,14772,37132,20399,15470,35868
2006,"02","Alabama",9743,10624,20366,7728,11732,19460
2007,"02","Alabama",10645,10172,20816,8369,11082,19451
2004,"02","Alabama",8572,9907,18479,6835,11032,17867
2009,"02","Alabama",15357,14425,29782,11560,15009,26569
2010,"02","Alabama",15035,13026,28061,11043,13147,24190
2001,"02","Alabama",9796,11295,21090,7919,12768,20686
2020,"02","Alabama",28388,15123,43510,25060,16459,41519
2022,"02","Alabama",25390,17381,42771,23042,18376,41418
2019,"02","Alabama",9602,6384,15986,8266,6951,15217
2024,"02","Alabama",22688,16017,38705,20678,16704,37382
2026,"02","Alabama",17568,12150,29718,16014,12739,28752
2015,"02","Alabama",27127,16942,44069,20058,16780,36837
2014,"02","Alabama",22877,17079,39955,16491,16623,33114
2011,"02","Alabama",15853,13393,29246,11384,13196,24580
2016,"02","Alabama",33520,17838,51358,25629,18103,43732
2016,"03","Alabama",16447,10664,27112,13094,11334,24428
2005,"03","Alabama",8151,8860,17012,7154,10972,18126
2021,"03","Alabama",39901,24531,64432,31572,22377,53949
2013,"03","Alabama",23257,21369,44626,19206,22728,41934
2008,"03","Alabama",11462,12475,23937,9884,14217,24101
2011,"03","Alabama",13981,12224,26205,11637,12979,24616
2009,"03","Alabama",14256,14350,28606,12127,15759,27886
2012,"03","Alabama",18462,14381,32844,15351,15262,30612
2010,"03","Alabama",12881,12561,25442,10833,13454,24287
2020,"03","Alabama",40305,21553,61859,31428,19826,51254
2003,"03","Alabama",7576,8478,16053,6644,10613,17257
2025,"03","Alabama",23838,14995,38833,19977,14812,34789
2001,"03","Alabama",9262,10928,20190,8146,13582,21729
2019,"03","Alabama",11386,7479,18865,8818,7102,15920
2004,"03","Alabama",7550,8665,16215,6625,10845,17471
2018,"03","Alabama",11515,8924,20439,8950,8787,17737
2000,"03","Alabama",8850,10132,18982,7783,12618,20401
2014,"03","Alabama",19856,15293,35149,16305,16412,32717
2015,"03","Alabama",20462,14783,35245,16546,15924,32470
2023,"03","Alabama",26841,18070,44911,21911,16984,38895
2006,"03","Alabama",8733,9677,18410,7639,11754,19393
2022,"03","Alabama",31202,20215,51416,25101,18506,43607
2024,"03","Alabama",23903,16786,40689,19779,16197,35976
2002,"03","Alabama",7242,8474,15717,6353,10573,16926
2007,"03","Alabama",9607,9045,18653,8348,10713,19061
2017,"03","Alabama",12089,8072,20161,9476,8307,17783
2009,"04","Alabama",11339,9999,21338,12305,15432,27737
2017,"04","Alabama",8131,5484,13615,9161,7833,16994
2004,"04","Alabama",6269,6328,12597,6848,11197,18045
2020,"04","Alabama",33245,15162,48408,35654,19651,55305
2023,"04","Alabama",21923,14155,36078,22471,17382,39853
2001,"04","Alabama",6841,7217,14058,7633,13156,20789
2005,"04","Alabama",6541,6409,12949,7076,11269,18345
2007,"04","Alabama",8163,6217,14380,8780,10653,19433
2025,"04","Alabama",20068,12004,32073,20430,15069,35499
2018,"04","Alabama",7325,6073,13398,8195,8484,16679
2019,"04","Alabama",7686,5256,12942,8424,7088,15512
2022,"04","Alabama",23797,14909,38707,24643,18340,42983
2008,"04","Alabama",9105,8540,17645,9816,14001,23817
2012,"04","Alabama",13259,11134,24394,14654,15648,30302
2016,"04","Alabama",11169,8128,19297,12571,11620,24191
2014,"04","Alabama",15917,12004,27921,17740,16865,34605
2006,"04","Alabama",6603,6345,12948,7111,11098,18209
2003,"04","Alabama",6005,5834,11839,6611,10458,17069
2021,"04","Alabama",32806,19807,52613,34518,24736,59255
2013,"04","Alabama",17188,15112,32299,19059,21220,40279
2024,"04","Alabama",18726,12417,31143,19075,15497,34572
2010,"04","Alabama",10033,9338,19371,10974,13673,24647
2011,"04","Alabama",10723,9524,20247,11792,13533,25325
2000,"04","Alabama",7272,7247,14519,8154,13212,21367
2002,"04","Alabama",5602,5853,11455,6221,10600,16821
2015,"04","Alabama",17113,11481,28593,19126,16287,35413
2018,"05","Alabama",6598,5778,12376,7562,8356,15918
2021,"05","Alabama",24782,14617,39399,26971,20523,47494
2017,"05","Alabama",8258,5355,13612,9679,7882,17561
2015,"05","Alabama",17886,10628,28514,21266,16220,37486
2019,"05","Alabama",7469,4821,12290,8370,6885,15256
2003,"05","Alabama",5863,5705,11568,6853,10845,17698
2007,"05","Alabama",7824,5669,13494,9135,10399,19534
2005,"05","Alabama",5899,5315,11214,6913,10161,17074
2001,"05","Alabama",6750,6871,13620,7860,13228,21088
2020,"05","Alabama",36751,16406,53158,40394,23200,63595
2011,"05","Alabama",10318,8384,18702,12293,13225,25518
2024,"05","Alabama",18139,11785,29924,19719,16226,35945
2012,"05","Alabama",12749,10351,23100,15203,16062,31265
2014,"05","Alabama",14841,10370,25211,17667,15942,33609
2006,"05","Alabama",6595,5930,12525,7716,11197,18913
2010,"05","Alabama",9239,8049,17288,10904,13039,23943
2004,"05","Alabama",5486,5357,10843,6417,10217,16634
2008,"05","Alabama",9208,9094,18302,10709,15949,26658
2023,"05","Alabama",20382,12004,32386,22115,16665,38780
2000,"05","Alabama",6481,6766,13247,7546,13138,20684
2002,"05","Alabama",5789,5611,11400,6748,10700,17448
2016,"05","Alabama",9017,6105,15122,10671,9174,19845
2025,"05","Alabama",19451,10870,30322,21081,14775,35856
2022,"05","Alabama",21131,12640,33771,22871,17720,40592
2013,"05","Alabama",15158,13996,29154,18107,21515,39622
2009,"05","Alabama",10327,9281,19608,12076,15587,27663
2001,"06","Alabama",7288,7508,14795,8219,13767,21986
2008,"06","Alabama",8287,8270,16557,9810,14174,23984
2025,"06","Alabama",15858,9385,25243,18068,13549,31617
2021,"06","Alabama",24781,16179,40960,25722,20100,45823
2009,"06","Alabama",9286,8655,17941,11114,14611,25724
2019,"06","Alabama",8117,5448,13565,8515,7000,15514
2013,"06","Alabama",12763,12515,25278,15806,18579,34384
2023,"06","Alabama",19665,12280,31945,21343,16384,37728
2002,"06","Alabama",5430,5555,10985,6158,10372,16530
2005,"06","Alabama",6438,5996,12434,7398,11142,18540
2014,"06","Alabama",13206,11932,25137,16250,17226,33476
2017,"06","Alabama",9470,5628,15098,10629,7739,18369
2016,"06","Alabama",10535,8474,19009,12323,11851,24175
2007,"06","Alabama",7868,6260,14128,9216,10955,20171
2004,"06","Alabama",5739,5814,11552,6565,11002,17567
2022,"06","Alabama",23961,15005,38966,25342,19117,44458
2010,"06","Alabama",9474,7667,17141,11451,12605,24056
2003,"06","Alabama",5630,5585,11214,6420,10556,16976
2018,"06","Alabama",7020,5676,12696,7588,7580,15168
2024,"06","Alabama",17468,11473,28941,19543,16051,35594
2000,"06","Alabama",7014,7480,14494,7885,13557,21442
2011,"06","Alabama",10792,9211,20004,13188,14632,27820
2012,"06","Alabama",13308,10943,24251,16401,16685,33086
2006,"06","Alabama",6949,5940,12889,8041,10737,18777
2015,"06","Alabama",17487,10405,27892,21098,14781,35879
2020,"06","Alabama",53780,24037,77817,55798,30021,85819
2006,"07","Alabama",6661,6311,12971,8069,10897,18965
2014,"07","Alabama",13369,11158,24528,16396,15635,32031
2008,"07","Alabama",8819,8690,17509,10676,13607,24283
2024,"07","Alabama",17479,12440,29919,20654,17761,38415
2025,"07","Alabama",14804,8968,23772,17634,13033,30667
2015,"07","Alabama",20343,12179,32523,25083,16877,41960
2021,"07","Alabama",22800,14974,37774,26194,19903,46098
2016,"07","Alabama",11657,8643,20299,14348,11958,26306
2011,"07","Alabama",10383,9463,19846,12654,13568,26222
2022,"07","Alabama",21755,13508,35263,25063,18297,43359
2020,"07","Alabama",39687,20262,59949,46176,26924,73101
2004,"07","Alabama",5781,6613,12394,6925,11559,18483
2012,"07","Alabama",14024,11537,25561,17193,16420,33613
2017,"07","Alabama",6934,5553,12487,8468,7693,16162
2018,"07","Alabama",5865,5238,11103,7065,7238,14303
2023,"07","Alabama",17821,10954,28775,20763,15322,36085
2010,"07","Alabama",9713,8902,18615,11751,12968,24719
2000,"07","Alabama",6291,7635,13926,7487,13441,20928
2009,"07","Alabama",9361,10146,19507,11286,15178,26464
2019,"07","Alabama",9970,6824,16795,11821,9247,21068
2003,"07","Alabama",5531,6203,11734,6582,10848,17430
2002,"07","Alabama",5328,5930,11258,6334,10393,16727
2005,"07","Alabama",5972,5880,11851,7189,10325,17513
2013,"07","Alabama",13871,13848,27719,17000,19529,36528
2001,"07","Alabama",6757,7754,14511,8031,13656,21687
2007,"07","Alabama",7151,6282,13433,8657,10414,19071
2007,"08","Alabama",8266,9168,17435,9218,11005,20224
2010,"08","Alabama",10601,11900,22500,11770,13364,25134
2024,"08","Alabama",19132,16231,35363,21770,17967,39737
2005,"08","Alabama",6233,8218,14451,6878,10170,17048
2003,"08","Alabama",6103,9118,15221,6507,10974,17481
2019,"08","Alabama",21839,15065,36904,24701,16460,41161
2002,"08","Alabama",6260,9347,15607,6542,11158,17700
2023,"08","Alabama",19051,14311,33362,21726,15899,37625
2016,"08","Alabama",9490,9011,18501,10959,10321,21280
2025,"08","Alabama",15046,11618,26664,17084,12885,29969
2014,"08","Alabama",15249,13846,29095,17276,16200,33476
2001,"08","Alabama",7942,11826,19768,8166,14086,22252
2020,"08","Alabama",30276,19787,50063,34043,21575,55618
2011,"08","Alabama",11377,12162,23539,12598,13786,26384
2017,"08","Alabama",7260,6992,14252,8352,7871,16224
2004,"08","Alabama",5755,9160,14915,6242,11230,17472
2018,"08","Alabama",6892,6617,13508,7848,7331,15179
2013,"08","Alabama",16498,15499,31997,18416,18118,36534
2022,"08","Alabama",21421,16228,37650,24326,17942,42269
2000,"08","Alabama",7448,10897,18345,7574,13005,20578
2012,"08","Alabama",16011,14315,30326,17698,16510,34208
2006,"08","Alabama",7319,8724,16044,8141,10765,18906
2008,"08","Alabama",9302,11272,20573,10350,13115,23465
2015,"08","Alabama",20776,15960,36736,23922,18506,42428
2009,"08","Alabama",10016,12976,22991,11171,14690,25860
2021,"08","Alabama",21677,17239,38916,24432,18944,43377
2001,"09","Alabama",8526,15371,23898,9258,14706,23964
2011,"09","Alabama",11075,12372,23446,13579,13895,27474
2010,"09","Alabama",9580,12034,21614,11659,13109,24768
2025,"09","Alabama",14660,12964,27623,17425,13437,30862
2012,"09","Alabama",12549,14397,26946,15550,16406,31957
2015,"09","Alabama",18543,15632,34175,24223,17267,41490
2021,"09","Alabama",20841,17932,38773,25886,19149,45035
2002,"09","Alabama",5569,10879,16448,6156,10589,16745
2020,"09","Alabama",26880,20185,47065,34191,21641,55831
2000,"09","Alabama",7480,14686,22166,8047,13949,21996
2023,"09","Alabama",18120,15290,33410,21736,16291,38027
2007,"09","Alabama",7330,11154,18484,8711,11153,19864
2009,"09","Alabama",9065,13599,22664,10943,14337,25280
2014,"09","Alabama",14364,15236,29600,18442,16987,35429
2022,"09","Alabama",20163,16084,36247,24526,17209,41735
2006,"09","Alabama",7237,11747,18984,8522,11659,20181
2024,"09","Alabama",17110,16670,33781,20387,17539,37925
2018,"09","Alabama",5774,6713,12487,7670,7359,15029
2013,"09","Alabama",13224,15062,28286,16654,17097,33751
2008,"09","Alabama",7899,12739,20638,9462,13034,22496
2017,"09","Alabama",6656,7301,13957,8887,8051,16938
2003,"09","Alabama",5640,10713,16353,6357,10645,17001
2016,"09","Alabama",8247,9703,17950,10940,10700,21641
2019,"09","Alabama",16566,14686,31252,21568,15893,37461
2004,"09","Alabama",5348,10673,16022,6146,10711,16857
2005,"09","Alabama",7709,11098,18807,8981,11082,20064
2003,"10","Alabama",6123,12691,18813,6548,11039,17588
2023,"10","Alabama",20248,18213,38460,22391,18340,40731
2008,"10","Alabama",10106,13825,23930,11863,13132,24995
2007,"10","Alabama",7504,11660,19164,8675,11024,19699
2020,"10","Alabama",27707,20975,48682,32803,21354,54157
2019,"10","Alabama",19467,16093,35560,23573,16283,39855
2025,"10","Alabama",15731,12250,27981,17003,12325,29328
2016,"10","Alabama",9005,10223,19228,10996,10331,21326
2021,"10","Alabama",22158,18136,40294,25550,18488,44037
2001,"10","Alabama",9229,16317,25546,9690,14221,23911
2018,"10","Alabama",6047,6817,12863,7429,6916,14346
2006,"10","Alabama",7175,12169,19345,8159,11307,19467
2005,"10","Alabama",7013,12475,19488,7819,11245,19063
2004,"10","Alabama",6368,13185,19552,6941,11600,18541
2015,"10","Alabama",20584,17261,37846,24658,17204,41862
2017,"10","Alabama",7129,8070,15199,8787,8196,16983
2011,"10","Alabama",10693,14709,25402,12707,14183,26890
2024,"10","Alabama",19037,17497,36533,20756,17566,38322
2009,"10","Alabama",10501,15036,25536,12455,14236,26691
2014,"10","Alabama",16215,16999,33214,19243,16722,35965
2000,"10","Alabama",7126,14792,21918,7451,12887,20338
2013,"10","Alabama",14267,17841,32108,16873,17437,34311
2012,"10","Alabama",14082,16936,31018,16720,16499,33219
2002,"10","Alabama",6039,11892,17931,6376,10352,16728
2010,"10","Alabama",9727,13894,23621,11595,13250,24844
2022,"10","Alabama",20408,15547,35956,22919,15822,38741
2002,"11","Alabama",6101,18576,24676,6400,10729,17129
2017,"11","Alabama",11451,13374,24825,9782,8773,18555
2012,"11","Alabama",20134,31265,51400,19762,20569,40331
2015,"11","Alabama",26620,26211,52831,23828,17078,40906
2008,"11","Alabama",15609,24665,40274,16360,15314,31674
2016,"11","Alabama",11894,15476,27370,10329,10043,20372
2018,"11","Alabama",10517,12602,23119,9012,8469,17481
2007,"11","Alabama",8327,18308,26635,8770,11076,19846
2004,"11","Alabama",6739,18821,25560,7112,11075,18187
2021,"11","Alabama",25730,24745,50475,23384,17687,41071
2009,"11","Alabama",10205,19234,29438,10563,12220,22783
2014,"11","Alabama",18990,25812,44802,17664,16901,34565
2023,"11","Alabama",24408,25788,50196,22081,17953,40034
2019,"11","Alabama",27820,22548,50368,24248,15699,39947
2011,"11","Alabama",13346,22894,36241,13340,14974,28314
2020,"11","Alabama",32212,30187,62400,28809,21521,50330
2010,"11","Alabama",11473,19800,31273,11691,12824,24515
2006,"11","Alabama",8056,19665,27721,8521,11671,20192
2003,"11","Alabama",6118,18226,24344,6429,10668,17097
2001,"11","Alabama",6981,19472,26453,7284,11098,18383
2013,"11","Alabama",16999,25691,42690,16317,16879,33196
2025,"11","Alabama",18060,17614,35674,16078,12350,28428
2024,"11","Alabama",23816,24123,47939,21358,16809,38166
2022,"11","Alabama",25974,23614,49588,23708,16671,40379
2000,"11","Alabama",7656,22600,30256,7974,12787,20761
2005,"11","Alabama",7302,19865,27167,7703,11703,19406
2005,"12","Alabama",11155,31419,42574,8215,12577,20792
2023,"12","Alabama",30798,30326,61124,21798,16843,38641
2024,"12","Alabama",29087,29821,58908,20596,16321,36917
2002,"12","Alabama",7664,26244,33908,6050,10613,16663
2014,"12","Alabama",27236,33637,60873,17975,16010,33986
2020,"12","Alabama",35740,33353,69093,25027,18294,43321
2013,"12","Alabama",23223,34594,57817,15653,16367,32020
2017,"12","Alabama",14749,17906,32655,9628,8721,18349
2003,"12","Alabama",8604,27364,35968,6647,10966,17613
2006,"12","Alabama",11517,29094,40611,8309,11896,20205
2009,"12","Alabama",15245,26767,42012,10722,12388,23110
2019,"12","Alabama",37842,29990,67833,25988,15905,41893
2001,"12","Alabama",8130,26474,34604,6540,10786,17326
2004,"12","Alabama",9348,28399,37746,7037,11290,18327
2007,"12","Alabama",12472,26018,38490,8905,11101,20006
2012,"12","Alabama",35516,48517,84032,24320,22767,47086
2016,"12","Alabama",15693,19857,35550,10120,9468,19588
2000,"12","Alabama",9492,28665,38157,7690,11703,19393
2015,"12","Alabama",54293,39008,93301,35261,18523,53784
2010,"12","Alabama",16002,27354,43355,11150,12794,23944
2008,"12","Alabama",17823,30251,48074,12627,13502,26129
2018,"12","Alabama",13068,15395,28463,8727,7776,16503
2022,"12","Alabama",34444,30337,64781,24429,16995,41424
2025,"12","Alabama",22041,23899,45939,15694,12910,28604
2021,"12","Alabama",35119,31273,66392,24890,17537,42428
2011,"12","Alabama",20208,32212,52420,13989,15066,29055
2012,"01","Alaska",1922,1997,3918,2341,2889,5230
2005,"01","Alaska",954,1378,2332,1243,2139,3382
2015,"01","Alaska",2801,2373,5173,3627,3551,7178
2014,"01","Alaska",2336,2484,4820,2927,3642,6569
2013,"01","Alaska",5552,4991,10542,6846,7256,14101
2006,"01","Alaska",1209,1602,2810,1533,2449,3982
2001,"01","Alaska",1005,1711,2716,1329,2777,4106
2016,"01","Alaska",3325,2650,5975,4466,4064,8530
2025,"01","Alaska",2735,2291,5026,3514,3132,6645
2007,"01","Alaska",1451,1548,2999,1796,2327,4122
2019,"01","Alaska",2218,2006,4224,3187,3194,6381
2010,"01","Alaska",1806,2114,3920,2164,3078,5242
2026,"01","Alaska",2744,2155,4899,3499,2920,6419
2011,"01","Alaska",2092,2200,4292,2531,3185,5716
2023,"01","Alaska",2830,2141,4971,3772,3056,6828
2003,"01","Alaska",988,1936,2924,1311,3077,4388
2004,"01","Alaska",879,1228,2106,1161,1927,3088
2020,"01","Alaska",2522,1838,4360,3586,2871,6457
2021,"01","Alaska",4676,4220,8896,6521,6411,12931
2018,"01","Alaska",2179,1934,4113,3101,3077,6178
2002,"01","Alaska",846,1321,2167,1118,2124,3241
2008,"01","Alaska",1627,1812,3439,1972,2684,4656
2009,"01","Alaska",2200,2394,4594,2644,3516,6160
2000,"01","Alaska",947,1474,2421,1252,2401,3653
2022,"01","Alaska",2640,2226,4866,3595,3272,6867
2017,"01","Alaska",2370,1934,4304,3298,3041,6338
2024,"01","Alaska",2421,2116,4538,3152,2940,6092
2019,"02","Alaska",2681,2288,4969,3098,2977,6075
2002,"02","Alaska",820,1307,2126,914,1870,2785
2013,"02","Alaska",4682,4750,9431,4570,5617,10187
2014,"02","Alaska",3169,3120,6289,3092,3687,6779
2026,"02","Alaska",2930,2234,5164,3368,2830,6197
2017,"02","Alaska",3341,2510,5851,3598,3175,6773
2024,"02","Alaska",2849,2366,5215,3260,2975,6235
2004,"02","Alaska",1246,1500,2747,1353,2041,3395
2015,"02","Alaska",3612,3084,6697,3594,3704,7298
2001,"02","Alaska",1060,1602,2662,1196,2315,3511
2018,"02","Alaska",2690,2325,5015,3009,2997,6006
2006,"02","Alaska",1441,1937,3378,1524,2485,4009
2009,"02","Alaska",2367,2659,5026,2440,3286,5727
2022,"02","Alaska",3131,2618,5749,3619,3311,6930
2012,"02","Alaska",3081,2785,5866,3039,3318,6357
2010,"02","Alaska",2256,2443,4699,2291,2989,5279
2011,"02","Alaska",2529,2596,5125,2528,3139,5667
2016,"02","Alaska",3707,2869,6576,3815,3528,7343
2023,"02","Alaska",3068,2428,5496,3526,3053,6580
2025,"02","Alaska",3044,2376,5420,3493,2998,6490
2021,"02","Alaska",3568,3028,6597,4176,3875,8051
2007,"02","Alaska",1642,1991,3633,1725,2506,4231
2020,"02","Alaska",3039,2246,5286,3553,2906,6459
2003,"02","Alaska",1036,1802,2838,1142,2521,3663
2005,"02","Alaska",1306,1602,2907,1397,2109,3506
2008,"02","Alaska",1872,2098,3970,1951,2612,4563
2000,"02","Alaska",1170,1788,2958,1327,2597,3924
2016,"03","Alaska",3696,3233,6929,3501,3176,6677
2025,"03","Alaska",3630,2910,6540,3250,2756,6006
2023,"03","Alaska",3868,3114,6982,3370,2889,6259
2007,"03","Alaska",1882,2382,4264,1723,2489,4212
2022,"03","Alaska",4092,3571,7663,3508,3276,6783
2008,"03","Alaska",2088,2553,4641,1908,2620,4528
2018,"03","Alaska",3623,3839,7462,3266,3626,6892
2000,"03","Alaska",1351,2080,3431,1324,2499,3823
2021,"03","Alaska",5160,4952,10112,4397,4497,8894
2020,"03","Alaska",5547,4626,10173,4745,4206,8952
2010,"03","Alaska",2663,3145,5808,2402,3094,5496
2003,"03","Alaska",1049,1596,2646,1006,1837,2842
2002,"03","Alaska",1131,1714,2845,1102,2018,3119
2004,"03","Alaska",1308,1858,3166,1235,2080,3315
2009,"03","Alaska",2507,3058,5565,2276,3073,5348
2015,"03","Alaska",3614,3589,7203,3427,3543,6971
2012,"03","Alaska",3551,3622,7173,3199,3476,6675
2001,"03","Alaska",1245,2034,3279,1220,2432,3652
2011,"03","Alaska",3091,3490,6581,2776,3382,6157
2019,"03","Alaska",3685,3385,7070,3223,3121,6344
2013,"03","Alaska",4099,4893,8991,3740,4714,8454
2024,"03","Alaska",3717,3235,6952,3288,3040,6328
2014,"03","Alaska",3374,3862,7236,3145,3774,6919
2017,"03","Alaska",3576,3106,6682,3330,3001,6331
2005,"03","Alaska",1535,2053,3587,1423,2237,3660
2006,"03","Alaska",1768,2270,4038,1626,2417,4043
2020,"04","Alaska",4606,3872,8478,4259,3652,7911
2006,"04","Alaska",1717,2494,4211,1544,2337,3881
2012,"04","Alaska",3796,3964,7761,3249,3590,6840
2003,"04","Alaska",1160,1955,3115,1044,1873,2917
2015,"04","Alaska",3638,3419,7056,3390,3282,6672
2017,"04","Alaska",3553,3380,6933,3382,3298,6680
2018,"04","Alaska",3629,3585,7214,3449,3473,6923
2011,"04","Alaska",3498,4105,7603,2957,3686,6643
2013,"04","Alaska",3886,4808,8694,3418,4430,7848
2001,"04","Alaska",1445,2384,3829,1302,2339,3641
2023,"04","Alaska",3986,3275,7261,3672,3124,6796
2009,"04","Alaska",2848,3435,6283,2448,3120,5568
2019,"04","Alaska",3211,3102,6313,3014,2963,5977
2000,"04","Alaska",1454,2410,3864,1309,2380,3688
2004,"04","Alaska",1425,2284,3708,1286,2168,3454
2010,"04","Alaska",3064,3598,6662,2597,3245,5842
2016,"04","Alaska",3533,3248,6782,3343,3158,6501
2014,"04","Alaska",3847,4410,8257,3500,4165,7665
2025,"04","Alaska",3572,2967,6538,3343,2899,6242
2024,"04","Alaska",3302,2966,6268,3060,2863,5923
2007,"04","Alaska",1881,2644,4525,1674,2458,4132
2005,"04","Alaska",1628,2282,3910,1472,2150,3621
2021,"04","Alaska",4860,4344,9204,4465,4089,8554
2008,"04","Alaska",2065,2905,4970,1808,2674,4482
2022,"04","Alaska",3979,3452,7430,3651,3258,6909
2002,"04","Alaska",1151,2071,3222,1036,2010,3046
2008,"05","Alaska",2000,2537,4536,1948,2757,4704
2023,"05","Alaska",3678,2833,6511,3433,3079,6512
2001,"05","Alaska",1175,2180,3355,1250,2425,3675
2016,"05","Alaska",3016,2806,5822,3042,3156,6199
2015,"05","Alaska",3335,2753,6088,3371,3077,6448
2004,"05","Alaska",1226,1938,3165,1264,2146,3410
2018,"05","Alaska",3945,3412,7357,3839,3775,7615
2020,"05","Alaska",5157,3757,8913,4865,4090,8955
2011,"05","Alaska",2760,2936,5696,2710,3131,5841
2017,"05","Alaska",3323,2892,6215,3298,3238,6536
2000,"05","Alaska",1159,2295,3454,1236,2553,3789
2005,"05","Alaska",1412,1918,3331,1427,2115,3543
2014,"05","Alaska",3495,3683,7178,3515,4058,7573
2007,"05","Alaska",1887,2263,4149,1850,2463,4313
2019,"05","Alaska",3207,2903,6109,3063,3182,6245
2024,"05","Alaska",3607,2740,6347,3357,2960,6317
2010,"05","Alaska",2658,2937,5595,2593,3153,5746
2021,"05","Alaska",3934,3200,7134,3682,3487,7169
2022,"05","Alaska",3710,2907,6618,3464,3164,6628
2003,"05","Alaska",1011,1610,2621,1057,1783,2840
2006,"05","Alaska",1574,2232,3806,1565,2451,4016
2002,"05","Alaska",1014,1803,2817,1072,2004,3076
2025,"05","Alaska",3719,2785,6504,3444,2999,6443
2009,"05","Alaska",2312,2894,5206,2245,3125,5369
2013,"05","Alaska",3364,4148,7512,3346,4494,7840
2012,"05","Alaska",3444,3597,7041,3408,3854,7262
2011,"06","Alaska",2544,2603,5147,2715,3322,6036
2001,"06","Alaska",1233,1733,2966,1259,2239,3498
2019,"06","Alaska",2912,2400,5312,2853,2864,5717
2023,"06","Alaska",3482,2721,6203,3436,3222,6658
2012,"06","Alaska",3258,3229,6487,3538,4195,7732
2004,"06","Alaska",1196,1638,2834,1193,2077,3271
2014,"06","Alaska",3060,2884,5944,3372,3775,7147
2024,"06","Alaska",3320,2387,5707,3313,2850,6163
2009,"06","Alaska",2138,2542,4680,2213,3159,5372
2013,"06","Alaska",2900,3035,5934,3186,3985,7172
2017,"06","Alaska",3409,2688,6097,3484,3306,6790
2003,"06","Alaska",1150,1500,2650,1160,1924,3084
2002,"06","Alaska",1013,1443,2456,1029,1862,2891
2008,"06","Alaska",1759,2174,3933,1798,2690,4488
2010,"06","Alaska",2654,2566,5221,2793,3222,6015
2025,"06","Alaska",3329,2450,5778,3336,2943,6278
2015,"06","Alaska",3028,2637,5665,3279,3394,6673
2020,"06","Alaska",5521,3658,9178,5392,4337,9729
2007,"06","Alaska",1804,2053,3857,1830,2548,4379
2016,"06","Alaska",3489,3728,7217,3693,4702,8394
2022,"06","Alaska",3837,2941,6778,3761,3474,7235
2000,"06","Alaska",1157,2166,3323,1184,2808,3992
2006,"06","Alaska",1722,2016,3738,1733,2514,4247
2005,"06","Alaska",1475,1715,3190,1474,2154,3628
2018,"06","Alaska",3277,2766,6043,3271,3348,6619
2021,"06","Alaska",3466,2833,6299,3371,3336,6707
2009,"07","Alaska",1970,2368,4338,2152,2756,4908
2011,"07","Alaska",2506,2848,5354,2836,3459,6294
2001,"07","Alaska",1332,2269,3601,1311,2432,3743
2013,"07","Alaska",2704,3094,5798,3113,3833,6946
2020,"07","Alaska",5755,4468,10223,5887,5110,10996
2022,"07","Alaska",3755,2970,6725,3856,3336,7192
2007,"07","Alaska",1607,2373,3980,1672,2662,4334
2003,"07","Alaska",1136,1718,2854,1108,1849,2957
